class,uid,assigned_type,assigned_key,call_offset,UID,Name,Nationality,Custom,HomeState,DOB,Male,Twitter,LastWin,PolePreviousSeason,ShootoutWinner
DRIVER_c,1083,,1083,0xAF0C,1083,S_DRIVER_AJ_ALMENDINGER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_LOS_GATOS,129829904,True,AJDinger,129106177,False,False
DRIVER_c,1084,,1084,0xAF39,1084,S_DRIVER_A_ALMIROLA,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_TAMPA,130024206,True,aric_almirola,129106177,True,False
DRIVER_c,1085,,1085,0xAF66,1085,S_DRIVER_M_AMBROSE,"NATIONALITY_c(2026, S_XG_NATIONALITY_AUSTRALIAN, S_XG_COUNTRY_AUSTRALIA, 2027)",False,S_HT_LAUNCESTON,129501441,True,MarcosAmbrose,129106177,True,False
DRIVER_c,1086,,1086,0xAF93,1086,S_DRIVER_J_ANDRETTI,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_BETHLEHEM,128647948,True,,129106177,False,False
DRIVER_c,1087,,1087,0xAFC0,1087,S_DRIVER_B_ASH,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1088,,1088,0xAFED,1088,S_DRIVER_D_BEAN,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1089,,1089,0xB01A,1089,S_DRIVER_N_BENNING,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1090,,1090,0xB047,1090,S_DRIVER_G_BIFFLE,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_VANCOUVER,129043479,True,gbiffle,131727617,True,False
DRIVER_c,1091,,1091,0xB074,1091,S_DRIVER_D_BLANEY,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_HARTFORD,128584216,True,BuckeyeBullet10,129106177,False,False
DRIVER_c,1092,,1092,0xB0A1,1092,S_DRIVER_C_BOWYER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_EMPORIA,129697054,True,ClintBowyer,131727617,True,False
DRIVER_c,1093,,1093,0xB0CE,1093,S_DRIVER_T_BOYS,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1094,,1094,0xB0FB,1094,S_DRIVER_J_BURTON,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_SOUTH_BOSTON,128910877,True,RCR31JeffBurton,129106177,True,False
DRIVER_c,1095,,1095,0xB128,1095,S_DRIVER_K_BUSCH_01,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_LAS_VEGAS,129632260,True,kurtbusch,131793153,True,True
DRIVER_c,1096,,1096,0xB155,1096,S_DRIVER_K_BUSCH_02,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_LAS_VEGAS,130090242,True,kylebusch,131793153,True,True
DRIVER_c,1097,,1097,0xB182,1097,S_DRIVER_P_CARPENTIER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1098,,1098,0xB1AF,1098,S_DRIVER_T_CHRISTOPHER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1099,,1099,0xB1DC,1099,S_DRIVER_D_COPE,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1100,,1100,0xB209,1100,S_DRIVER_D_EARNHARDT_JR,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_KANNAPOLIS,129370634,True,,129106177,True,True
DRIVER_c,1101,,1101,0xB236,1101,S_DRIVER_C_EDWARDS,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_COLUMBIA,129697807,True,,131793153,True,False
DRIVER_c,1102,,1102,0xB263,1102,S_DRIVER_B_ELLIOT,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_DAWSONVILLE,128125448,True,,129106177,False,False
DRIVER_c,1103,,1103,0xB290,1103,S_DRIVER_M_GARVEY,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,,131072257,True,,129106177,False,False
DRIVER_c,1104,,1104,0xB2BD,1104,S_DRIVER_D_GILLILAND,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_RIVERSIDE,129500161,True,DavidGilliland,129106177,False,False
DRIVER_c,1105,,1105,0xB2EA,1105,S_DRIVER_J_GORDON,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_VALLEJO,129173508,True,JeffGordonWeb,131793153,True,True
DRIVER_c,1106,,1106,0xB317,1106,S_DRIVER_R_GORDON,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_CORNELIUS,129040642,True,RobbyGordon,129106177,False,False
DRIVER_c,1107,,1107,0xB344,1107,S_DRIVER_D_HAMLIN,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_CHESTERFIELD,129764114,True,dennyhamlin,131793153,False,True
DRIVER_c,1108,,1108,0xB371,1108,S_DRIVER_K_HARVICK,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_BAKERSFIELD,129436680,True,RCR29KHarvick,131793153,False,True
DRIVER_c,1109,,1109,0xB39E,1109,S_DRIVER_S_HORNISH_JR,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,S_HT_BRYAN,129697538,True,SamHornish,129106177,False,False
