call_offset_hex,profile_id,profile_id_const_index,profile_id_load_offset_hex,skill,skill_const_index,skill_load_offset_hex,aggression,aggression_const_index,aggression_load_offset_hex,skill_intermediate,skill_intermediate_const_index,skill_intermediate_load_offset_hex,skill_plate,skill_plate_const_index,skill_plate_load_offset_hex,skill_road_course,skill_road_course_const_index,skill_road_course_load_offset_hex,skill_short,skill_short_const_index,skill_short_load_offset_hex,skill_superspeedway,skill_superspeedway_const_index,skill_superspeedway_load_offset_hex
0x8E2,3228,174,0x8CA,1.0,175,0x8CD,0.5,176,0x8D0,0.5,176,0x8D3,0.5,176,0x8D6,0.5,176,0x8D9,0.5,176,0x8DC,0.5,176,0x8DF
0x906,3229,177,0x8EE,0.392,178,0x8F1,0.5,176,0x8F4,0.4,179,0x8F7,0.71,180,0x8FA,0.31,181,0x8FD,0.37,182,0x900,0.31,181,0x903
0x92A,3230,183,0x912,0.724,184,0x915,0.6,185,0x918,0.62,186,0x91B,0.69,187,0x91E,0.65,188,0x921,0.7,189,0x924,0.63,190,0x927
0x94E,3231,191,0x936,0.867,192,0x939,0.9,193,0x93C,0.89,194,0x93F,0.94,195,0x942,0.94,195,0x945,0.91,196,0x948,0.91,196,0x94B
0x972,3232,197,0x95A,0.672,198,0x95D,0.5,176,0x960,0.84,199,0x963,0.67,200,0x966,0.39,201,0x969,0.67,200,0x96C,0.83,202,0x96F
0x996,3233,203,0x97E,0.487,204,0x981,0.6,185,0x984,0.57,205,0x987,0.74,206,0x98A,0.25,207,0x98D,0.51,208,0x990,0.55,209,0x993
0x9BA,3234,210,0x9A2,0.156,211,0x9A5,0.7,189,0x9A8,0.1,212,0x9AB,0.34,213,0x9AE,0.64,214,0x9B1,0.16,215,0x9B4,0.12,216,0x9B7
0x9DE,3235,217,0x9C6,0.844,218,0x9C9,0.6,185,0x9CC,0.95,219,0x9CF,0.84,199,0x9D2,0.66,220,0x9D5,0.88,221,0x9D8,0.95,219,0x9DB
0xA02,3236,222,0x9EA,0.823,223,0x9ED,0.7,189,0x9F0,0.92,224,0x9F3,0.87,225,0x9F6,0.78,226,0x9F9,1.0,175,0x9FC,0.91,196,0x9FF
0xA26,3237,227,0xA0E,0.85,228,0xA11,0.8,229,0xA14,0.99,230,0xA17,0.81,231,0xA1A,0.91,196,0xA1D,0.92,224,0xA20,0.99,230,0xA23
